1,Human,Human,0,Human,21,game00001.log,
284,GreedyPlayer,260556530,1,260556530,33,game00284.log,
285,GreedyPlayer,260556530,1,260556530,29,game00285.log,
286,260556530,GreedyPlayer,1,GreedyPlayer,15,game00286.log,
287,260556530,GreedyPlayer,1,GreedyPlayer,15,game00287.log,
288,260556530,GreedyPlayer,1,GreedyPlayer,15,game00288.log,
289,GreedyPlayer,260556530,0,GreedyPlayer,29,game00289.log,
290,260556530,GreedyPlayer,1,GreedyPlayer,18,game00290.log,
291,260556530,GreedyPlayer,1,GreedyPlayer,24,game00291.log,
292,GreedyPlayer,260556530,0,GreedyPlayer,16,game00292.log,
293,260556530,GreedyPlayer,1,GreedyPlayer,24,game00293.log,
294,GreedyPlayer,260556530,1,260556530,26,game00294.log,
295,GreedyPlayer,260556530,1,260556530,26,game00295.log,
296,GreedyPlayer,260556530,1,260556530,21,game00296.log,
297,GreedyPlayer,260556530,1,260556530,29,game00297.log,
298,GreedyPlayer,260556530,0,GreedyPlayer,23,game00298.log,
299,GreedyPlayer,260556530,0,GreedyPlayer,27,game00299.log,
300,GreedyPlayer,260556530,1,260556530,26,game00300.log,
301,GreedyPlayer,260556530,1,260556530,21,game00301.log,
302,260556530,GreedyPlayer,0,260556530,31,game00302.log,
303,260556530,GreedyPlayer,1,GreedyPlayer,23,game00303.log,
304,GreedyPlayer,260556530,1,260556530,26,game00304.log,
305,260556530,GreedyPlayer,1,GreedyPlayer,24,game00305.log,
306,GreedyPlayer,260556530,1,260556530,26,game00306.log,
307,260556530,GreedyPlayer,1,GreedyPlayer,22,game00307.log,
308,GreedyPlayer,260556530,1,260556530,26,game00308.log,
309,260556530,GreedyPlayer,1,GreedyPlayer,25,game00309.log,
310,260556530,GreedyPlayer,1,GreedyPlayer,20,game00310.log,
311,GreedyPlayer,260556530,1,260556530,21,game00311.log,
312,GreedyPlayer,260556530,1,260556530,13,game00312.log,
313,260556530,GreedyPlayer,1,GreedyPlayer,17,game00313.log,
314,GreedyPlayer,260556530,1,260556530,13,game00314.log,
315,260556530,GreedyPlayer,1,GreedyPlayer,14,game00315.log,
316,260556530,GreedyPlayer,1,GreedyPlayer,15,game00316.log,
317,260556530,GreedyPlayer,1,GreedyPlayer,28,game00317.log,
318,260556530,GreedyPlayer,1,GreedyPlayer,26,game00318.log,
319,GreedyPlayer,260556530,1,260556530,26,game00319.log,
320,260556530,GreedyPlayer,1,GreedyPlayer,15,game00320.log,
321,260556530,GreedyPlayer,1,GreedyPlayer,24,game00321.log,
322,260556530,GreedyPlayer,1,GreedyPlayer,26,game00322.log,
323,260556530,GreedyPlayer,1,GreedyPlayer,12,game00323.log,
324,260556530,GreedyPlayer,1,GreedyPlayer,18,game00324.log,
325,260556530,GreedyPlayer,1,GreedyPlayer,25,game00325.log,
326,260556530,GreedyPlayer,1,GreedyPlayer,25,game00326.log,
327,260556530,GreedyPlayer,1,GreedyPlayer,15,game00327.log,
328,GreedyPlayer,260556530,1,260556530,26,game00328.log,
329,260556530,GreedyPlayer,1,GreedyPlayer,22,game00329.log,
330,260556530,GreedyPlayer,1,GreedyPlayer,25,game00330.log,
331,260556530,GreedyPlayer,0,260556530,18,game00331.log,
332,260556530,GreedyPlayer,0,260556530,27,game00332.log,
333,260556530,GreedyPlayer,1,GreedyPlayer,27,game00333.log,
334,260556530,GreedyPlayer,1,GreedyPlayer,21,game00334.log,
335,260556530,GreedyPlayer,1,GreedyPlayer,21,game00335.log,
336,260556530,GreedyPlayer,1,GreedyPlayer,21,game00336.log,
337,GreedyPlayer,260556530,1,260556530,26,game00337.log,
338,260556530,GreedyPlayer,1,GreedyPlayer,21,game00338.log,
